Sport ,,Sport Persian,Competition,Country, Country Persian,Competition Persian
Football,SOCCER,فوتبال,Persha Liga,Ukraine,اوکراین,پرشا لیگ
Football,SOCCER,فوتبال,Liga Pari-Match,Ukraine,اوکراین,لیگ پری-مچ
Football,SOCCER,فوتبال,Liga 1,Romania,رومانی,لیگ ۱ رومانی
Football,SOCCER,فوتبال,Liga II,Romania,رومانی,لیگ ۲ رومانی
Football,SOCCER,فوتبال,Bundesliga,Germany,آلمان,بوندسلیگا آلمان
Football,SOCCER,فوتبال,3.Bundesliga,Germany,آلمان,لیگ ۳ آلمان
Football,SOCCER,فوتبال,2.Bundesliga,Germany,آلمان,بوندسلیگا ۲ آلمان
Football,SOCCER,فوتبال,Regional Liga West,Germany,آلمان,لیگ منطقه‌ای - غرب آلمان
Football,SOCCER,فوتبال,Regional Liga Südwest,Germany,آلمان,لیگ منطقه‌ای - جنوب غربی آلمان
Football,SOCCER,فوتبال,Regional Liga Bayern,Germany,آلمان,لیگ منطقه‌ای - بایرن آلمان
Football,SOCCER,فوتبال,Regional Liga Nord,Germany,آلمان,لیگ منطقه‌ای- نورد
Football,SOCCER,فوتبال,Oberliga Rheinland-Pfalz/Saar,Germany,آلمان,ابرلیگا رهیلند
Football,SOCCER,فوتبال,Bayernliga Nord,Germany,آلمان,بایرن لیگا نورد
Football,SOCCER,فوتبال,Bremen-Liga,Germany,آلمان,برمن لیگا
Football,SOCCER,فوتبال,Oberliga Hamburg,Germany,آلمان,ابرلیگا هامبورگ
Football,SOCCER,فوتبال,NOFV-Oberliga Nord,Germany,آلمان,ابرلیگا نورد
Football,SOCCER,فوتبال,Regional Liga Nordost,Germany,آلمان,لیگ منطقه‌ای- نوردست
Football,SOCCER,فوتبال,Bundesliga U19,Germany,آلمان,بوندسلیگا زیر ۱۹ سال آلمان
Football,SOCCER,فوتبال,Club Friendlies,International,بین المللی,باشگاهی دوستانه 
Football,SOCCER,فوتبال,UEFA Champions League - Group A,International,بین المللی,لیگ قهرمانان اروپا - گروه A
Football,SOCCER,فوتبال,UEFA Champions League - Group B,International,بین المللی,لیگ قهرمانان اروپا - گروه B
Football,SOCCER,فوتبال,UEFA Champions League - Group D,International,بین المللی,لیگ قهرمانان اروپا - گروه D
Football,SOCCER,فوتبال,UEFA Champions League - Group C,International,بین المللی,لیگ قهرمانان اروپا - گروه C
Football,SOCCER,فوتبال,UEFA Champions League - Group F,International,بین المللی,لیگ قهرمانان اروپا - گروه F
Football,SOCCER,فوتبال,UEFA Champions League - Group G,International,بین المللی,لیگ قهرمانان اروپا - گروه G
Football,SOCCER,فوتبال,UEFA Champions League - Group H,International,بین المللی,لیگ قهرمانان اروپا - گروه H
Football,SOCCER,فوتبال,UEFA Champions League - Group E,International,بین المللی,لیگ قهرمانان اروپا - گروه E
Football,SOCCER,فوتبال,UEFA Europa League - Group A,International,بین المللی,لیگ اروپا - گروه A
Football,SOCCER,فوتبال,UEFA Europa League - Group J,International,بین المللی,لیگ اروپا - گروه  J
Football,SOCCER,فوتبال,UEFA Europa League - Group I,International,بین المللی,لیگ اروپا - گروه I
Football,SOCCER,فوتبال,UEFA Europa League - Group H,International,بین المللی,لیگ اروپا - گروه H
Football,SOCCER,فوتبال,UEFA Europa League - Group K,International,بین المللی,لیگ اروپا - گروه K
Football,SOCCER,فوتبال,UEFA Europa League - Group B,International,بین المللی,لیگ اروپا - گروه B
Football,SOCCER,فوتبال,UEFA Europa League - Group F,International,بین المللی,لیگ اروپا - گروه F
Football,SOCCER,فوتبال,UEFA Europa League - Group G,International,بین المللی,لیگ اروپا - گروه G
Football,SOCCER,فوتبال,UEFA Europa League - Group C,International,بین المللی,لیگ اروپا - گروه C
Football,SOCCER,فوتبال,UEFA Europa League - Group D,International,بین المللی,لیگ اروپا - گروه D
Football,SOCCER,فوتبال,UEFA Europa League - Group L,International,بین المللی,لیگ اروپا - گروه L
Football,SOCCER,فوتبال,UEFA Europa League - Group E,International,بین المللی,لیگ اروپا - گروه E
Football,SOCCER,فوتبال,AFC Champion League - Final,International,بین المللی,لیگ قهرمانان آسیا - فینال 
Football,SOCCER,فوتبال,UEFA Champions League,International,بین المللی,لیگ قهرمانان اروپا 
Football,SOCCER,فوتبال,World Cup,International,بین المللی,جام جهانی 
Football,SOCCER,فوتبال,UEFA Europa League,International,بین المللی,لیگ اروپا 
Football,SOCCER,فوتبال,Belgian First Division A,Belgium,بلژیک,لیگ دسته اول بلژیک A
Football,SOCCER,فوتبال,Belgian First Division B,Belgium,بلژیک,لیگ دسته اول بلژیک B
Football,SOCCER,فوتبال,Reserve Pro League,Belgium,بلژیک,لیگ حرفه ای  رزرو
Football,SOCCER,فوتبال,First Amateurliga,Belgium,بلژیک,لیگ آماتور اول
Football,SOCCER,فوتبال,Premier League,England,انگلیس,لیگ برتر انگلیس
Football,SOCCER,فوتبال,The Championship,England,انگلیس,چمپونشیپ 
Football,SOCCER,فوتبال,National League,England,انگلیس,لیگ ملی انگلیس
Football,SOCCER,فوتبال,League One,England,انگلیس,لیگ یک انگلیس
Football,SOCCER,فوتبال,League Two,England,انگلیس,لیگ دو انگلیس
Football,SOCCER,فوتبال,National League North,England,انگلیس,لیگ ملی شمال انگلیس
Football,SOCCER,فوتبال,National League South,England,انگلیس,لیگ ملی جنوب انگلیس
Football,SOCCER,فوتبال,Ryman Isthmian League,England,انگلیس,لیگ ریمان ایسمین
Football,SOCCER,فوتبال,Northern Premier League,England,انگلیس,لیگ برتر شمال انگلیس
Football,SOCCER,فوتبال,Southern League,England,انگلیس,لیگ ملی جنوب انگلیس 
Football,SOCCER,فوتبال,Premier League 2 - Division 1,England,انگلیس,لیگ برتر ۲ انگلیس
Football,SOCCER,فوتبال,Premier League Shillong,India,هند, لیگ برتر شیلونگ
Football,SOCCER,فوتبال,Mizoram Premier League,India,هند,لیگ برتر میزورام
Football,SOCCER,فوتبال,Indian Super League,India,هند,سوپر لیگ هند
Football,SOCCER,فوتبال,II Liga,Czech Republic,جمهوری چک,لیگ ۲ جمهوری چک
Football,SOCCER,فوتبال,Synot liga,Czech Republic,جمهوری چک,لیگ سینت
Football,SOCCER,فوتبال,CFL,Czech Republic,جمهوری چک,لیگ برتر  جمهوری چک
Football,SOCCER,فوتبال,Czech liga U19,Czech Republic,جمهوری چک,لیگ زیر ۱۹ سال جمهوری چک
Football,SOCCER,فوتبال,Czech Republic. 5 Liga,Czech Republic,جمهوری چک,لیگ ۵ جمهوری چک
Football,SOCCER,فوتبال,Professional League,Saudi Arabia,عربستان سعودی,لیگ حرفه‌ای عربستان سعودی
Football,SOCCER,فوتبال,Premiere League - Regular,Russia,روسیه,لیگ برتر روسیه
Football,SOCCER,فوتبال,FNL,Russia,روسیه,لیگ ملی روسیه
Football,SOCCER,فوتبال,Division 2 - South,Russia,روسیه,لیگ دسته دوم - جنوب روسیه
Football,SOCCER,فوتبال,Premier League U21,Russia,روسیه,لیگ برتر جوانان روسیه
Football,SOCCER,فوتبال,Liga 2,Indonesia,اندونزی,لیگ ۲ اندونزی 
Football,SOCCER,فوتبال,Serie A,Italy,ایتالیا,سری آ ایتالیا
Football,SOCCER,فوتبال,Serie B,Italy,ایتالیا,سری بی ایتالیا
